ACT;Years;No;1000;500;400;350;310;300;290
coal_extr;2020;38.1398;38.1398;38.1398;38.1398;38.1398;38.1398;38.1398;38.1398
coal_extr;2030;41.67642932;41.67642932;27.58013085;27.4398;12.28999302;0;0;0
coal_extr;2040;78.09482825;78.09482825;27.58013085;0;0;0;0;0
coal_extr;2050;92.43582598;56.7367399;0.140330849;0;0;0;0;0
coal_extr;2060;113.8049835;42.50011059;0;0;0;0;0;0
coal_extr;2070;131.0181014;6.081711651;0;0;0;0;0;0
coal_extr;2080;151.3669877;0;0;0;0;0;0;0
gas_extr;2020;33.328;33.328;33.328;33.328;33.328;33.328;33.328;33.328
gas_extr;2030;14.628;14.628;14.628;3.37569212;0;0;0;0
gas_extr;2040;0;0;0;0;0;0;0;0
gas_extr;2050;0;0;0;0;0;0;0;0
gas_extr;2060;0;0;0;0;0;0;0;0
gas_extr;2070;0;0;0;0;0;0;0;0
gas_extr;2080;0;0;0;0;0;0;0;0
oil_extr;2020;47.2462488;47.2462488;47.2462488;47.2462488;47.2462488;47.2462488;47.2462488;47.2462488
oil_extr;2030;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;1.985334321
oil_extr;2040;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;0.766549189
oil_extr;2050;3.233460495;3.233460495;3.233460495;3.233460495;3.233460495;3.233460495;2.034734698;0.878141796
oil_extr;2060;3.623049865;3.623049865;3.623049865;3.623049865;3.623049865;3.623049865;1.967892616;0.983946308
oil_extr;2070;4.116244691;4.116244691;4.116244691;4.116244691;4.116244691;3.854376739;1.117887945;0
oil_extr;2080;4.699286387;4.699286387;4.699286387;4.699286387;4.699286387;2.55246031;1.276230155;0
nuclear_fuel;2020;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2030;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2040;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2050;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_fuel;2060;0;0;0;0;0;0;0;0
nuclear_fuel;2070;0;0;0;0;0;0;0;0
nuclear_fuel;2080;0;0;0;0;0;0;0;0
bio_pot;2020;13.0771;13.0771;13.0771;13.0771;13.0771;13.0771;13.0771;13.0771
bio_pot;2030;0;0;0;0;0;0;0;0
bio_pot;2040;0;0;0;0;0;0;0;0.766549189
bio_pot;2050;0;0;0;0;0;0;0;0.878141796
bio_pot;2060;0;0;0;0;0;0;0;0.983946308
bio_pot;2070;0;0;0;0;0;0;1.117887945;0
bio_pot;2080;0;0;0;0;0;0;1.276230155;0
hydro_pot;2020;4.36;4.36;4.36;4.36;4.36;4.36;4.36;4.36
hydro_pot;2030;4.36;4.36;9.220792575;14.1614903;20.8532539;25.09118252;25.09118252;25.74262137
hydro_pot;2040;4.36;4.36;21.77886117;31.28925112;31.28925112;31.28925112;31.28925112;32.82067635
hydro_pot;2050;4.36;16.67002968;36.1860328;36.23442275;36.23442275;36.23442275;37.6580876;37.98878962
hydro_pot;2060;4.36;28.94788721;43.60309776;43.60309776;43.60309776;43.60309776;45.56884271;45.56884271
hydro_pot;2070;4.36;47.44151371;49.53865566;49.53865566;49.53865566;49.84966272;51.77199153;54.42730731
hydro_pot;2080;4.36;56.55551301;56.55551301;56.55551301;56.55551301;59.10518768;59.10518768;62.13661323
wind_pot;2020;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6
wind_pot;2030;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6
wind_pot;2040;0;0;0;0;0;0;0;0
wind_pot;2050;0;0;0;0;0;0;0;0
wind_pot;2060;0;0;0;0;0;0;0;0
wind_pot;2070;0;0;0;0;0;0;0;0
wind_pot;2080;0;0;0;0;0;0;0;0
solar_pot;2020;2.629;2.629;2.629;2.629;2.629;2.629;2.629;2.629
solar_pot;2030;97.48932195;97.48932195;97.48932195;97.48932195;97.48932195;97.48932195;97.48932195;97.48932195
solar_pot;2040;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896
solar_pot;2050;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324
solar_pot;2060;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227
solar_pot;2070;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112
solar_pot;2080;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942
coal_ppl;2020;9.462;9.462;9.462;9.462;9.462;9.462;9.462;9.462
coal_ppl;2030;14.37118252;14.37118252;9.510389948;9.462;4.237928626;0;0;0
coal_ppl;2040;26.92925112;26.92925112;9.510389948;0;0;0;0;0
coal_ppl;2050;31.87442275;19.56439307;0.048389948;0;0;0;0;0
coal_ppl;2060;39.24309776;14.65521055;0;0;0;0;0;0
coal_ppl;2070;45.17865566;2.097141949;0;0;0;0;0;0
coal_ppl;2080;52.19551301;0;0;0;0;0;0;0
gas_ppl;2020;6.36;6.36;6.36;6.36;6.36;6.36;6.36;6.36
gas_ppl;2030;6.36;6.36;6.36;1.467692226;0;0;0;0
gas_ppl;2040;0;0;0;0;0;0;0;0
gas_ppl;2050;0;0;0;0;0;0;0;0
gas_ppl;2060;0;0;0;0;0;0;0;0
gas_ppl;2070;0;0;0;0;0;0;0;0
gas_ppl;2080;0;0;0;0;0;0;0;0
oil_ppl;2020;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
oil_ppl;2030;0;0;0;0;0;0;0;0
oil_ppl;2040;0;0;0;0;0;0;0;0
oil_ppl;2050;0;0;0;0;0;0;0;0
oil_ppl;2060;0;0;0;0;0;0;0;0
oil_ppl;2070;0;0;0;0;0;0;0;0
oil_ppl;2080;0;0;0;0;0;0;0;0
bio_ppl;2020;0.69;0.69;0.69;0.69;0.69;0.69;0.69;0.69
bio_ppl;2030;0;0;0;0;0;0;0;0
bio_ppl;2040;0;0;0;0;0;0;0;0
bio_ppl;2050;0;0;0;0;0;0;0;0
bio_ppl;2060;0;0;0;0;0;0;0;0
bio_ppl;2070;0;0;0;0;0;0;0;0
bio_ppl;2080;0;0;0;0;0;0;0;0
hydro_ppl;2020;4.36;4.36;4.36;4.36;4.36;4.36;4.36;4.36
hydro_ppl;2030;4.36;4.36;9.220792575;14.1614903;20.8532539;25.09118252;25.09118252;25.74262137
hydro_ppl;2040;4.36;4.36;21.77886117;31.28925112;31.28925112;31.28925112;31.28925112;32.82067635
hydro_ppl;2050;4.36;16.67002968;36.1860328;36.23442275;36.23442275;36.23442275;37.6580876;37.98878962
hydro_ppl;2060;4.36;28.94788721;43.60309776;43.60309776;43.60309776;43.60309776;45.56884271;45.56884271
hydro_ppl;2070;4.36;47.44151371;49.53865566;49.53865566;49.53865566;49.84966272;51.77199153;54.42730731
hydro_ppl;2080;4.36;56.55551301;56.55551301;56.55551301;56.55551301;59.10518768;59.10518768;62.13661323
wind_ppl;2020;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6
wind_ppl;2030;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6
wind_ppl;2040;0;0;0;0;0;0;0;0
wind_ppl;2050;0;0;0;0;0;0;0;0
wind_ppl;2060;0;0;0;0;0;0;0;0
wind_ppl;2070;0;0;0;0;0;0;0;0
wind_ppl;2080;0;0;0;0;0;0;0;0
solar_PV_ppl;2020;0.839;0.839;0.839;0.839;0.839;0.839;0.839;0.839
solar_PV_ppl;2030;0.839;0.839;0.839;0.839;0.839;0.839;0.839;0.839
solar_PV_ppl;2040;0;0;0;0;0;0;0;0
solar_PV_ppl;2050;0;0;0;0;0;0;0;0
solar_PV_ppl;2060;0;0;0;0;0;0;0;0
solar_PV_ppl;2070;0;0;0;0;0;0;0;0
solar_PV_ppl;2080;0;0;0;0;0;0;0;0
nuclear_ppl;2020;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_ppl;2030;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_ppl;2040;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_ppl;2050;2.68;2.68;2.68;2.68;2.68;2.68;2.68;2.68
nuclear_ppl;2060;0;0;0;0;0;0;0;0
nuclear_ppl;2070;0;0;0;0;0;0;0;0
nuclear_ppl;2080;0;0;0;0;0;0;0;0
other_ppl;2020;0.127;0.127;0.127;0.127;0.127;0.127;0.127;0.127
other_ppl;2030;0.127;0.127;0.127;0.127;0.127;0.127;0.127;0.127
other_ppl;2040;0;0;0;0;0;0;0;0
other_ppl;2050;0;0;0;0;0;0;0;0
other_ppl;2060;0;0;0;0;0;0;0;0
other_ppl;2070;0;0;0;0;0;0;0;0
other_ppl;2080;0;0;0;0;0;0;0;0
coal_nele;2020;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.7
coal_nele;2030;0;0;0;0;0;0;0;0
coal_nele;2040;0;0;0;0;0;0;0;0
coal_nele;2050;0;0;0;0;0;0;0;0
coal_nele;2060;0;0;0;0;0;0;0;0
coal_nele;2070;0;0;0;0;0;0;0;0
coal_nele;2080;0;0;0;0;0;0;0;0
oil_nele;2020;43;43;43;43;43;43;43;43
oil_nele;2030;0;0;0;0;0;0;0;0
oil_nele;2040;0;0;0;0;0;0;0;0
oil_nele;2050;0;0;0;0;0;0;0;0
oil_nele;2060;0;0;0;0;0;0;0;0
oil_nele;2070;0;0;0;0;0;0;0;0
oil_nele;2080;0;0;0;0;0;0;0;0
gas_nele;2020;18.7;18.7;18.7;18.7;18.7;18.7;18.7;18.7
gas_nele;2030;0;0;0;0;0;0;0;0
gas_nele;2040;0;0;0;0;0;0;0;0
gas_nele;2050;0;0;0;0;0;0;0;0
gas_nele;2060;0;0;0;0;0;0;0;0
gas_nele;2070;0;0;0;0;0;0;0;0
gas_nele;2080;0;0;0;0;0;0;0;0
bio_nele;2020;10.6;10.6;10.6;10.6;10.6;10.6;10.6;10.6
bio_nele;2030;0;0;0;0;0;0;0;0
bio_nele;2040;0;0;0;0;0;0;0;0
bio_nele;2050;0;0;0;0;0;0;0;0
bio_nele;2060;0;0;0;0;0;0;0;0
bio_nele;2070;0;0;0;0;0;0;0;0
bio_nele;2080;0;0;0;0;0;0;0;0
solar_nele;2020;1.79;1.79;1.79;1.79;1.79;1.79;1.79;1.79
solar_nele;2030;96.65032195;96.65032195;96.65032195;96.65032195;96.65032195;96.65032195;96.65032195;96.65032195
solar_nele;2040;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896;107.662896
solar_nele;2050;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324;123.3362324
solar_nele;2060;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227;138.1966227
solar_nele;2070;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112;157.0089112
solar_nele;2080;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942;179.2482942
other_nele;2020;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28
other_nele;2030;0;0;0;0;0;0;0;0
other_nele;2040;0;0;0;0;0;0;0;0
other_nele;2050;0;0;0;0;0;0;0;0
other_nele;2060;0;0;0;0;0;0;0;0
other_nele;2070;0;0;0;0;0;0;0;0
other_nele;2080;0;0;0;0;0;0;0;0
electricity_grid;2020;25.84441805;25.84441805;25.84441805;25.84441805;25.84441805;25.84441805;25.84441805;25.84441805
electricity_grid;2030;29.49818252;29.49818252;29.49818252;29.49818252;29.49818252;29.49818252;29.49818252;30.14962137
electricity_grid;2040;33.96925112;33.96925112;33.96925112;33.96925112;33.96925112;33.96925112;33.96925112;35.50067635
electricity_grid;2050;38.91442275;38.91442275;38.91442275;38.91442275;38.91442275;38.91442275;40.3380876;40.66878962
electricity_grid;2060;43.60309776;43.60309776;43.60309776;43.60309776;43.60309776;43.60309776;45.56884271;45.56884271
electricity_grid;2070;49.53865566;49.53865566;49.53865566;49.53865566;49.53865566;49.84966272;51.77199153;54.42730731
electricity_grid;2080;56.55551301;56.55551301;56.55551301;56.55551301;56.55551301;59.10518768;59.10518768;62.13661323
appliances;2020;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6
appliances;2030;25.67646968;25.67646968;25.67646968;25.67646968;25.67646968;25.67646968;25.67646968;25.67646968
appliances;2040;28.60210944;28.60210944;28.60210944;28.60210944;28.60210944;28.60210944;28.60210944;28.60210944
appliances;2050;32.76594396;32.76594396;32.76594396;32.76594396;32.76594396;32.76594396;32.76594396;32.76594396
appliances;2060;36.71380832;36.71380832;36.71380832;36.71380832;36.71380832;36.71380832;36.71380832;36.71380832
appliances;2070;41.71154806;41.71154806;41.71154806;41.71154806;41.71154806;41.71154806;41.71154806;41.71154806
appliances;2080;47.61974195;47.61974195;47.61974195;47.61974195;47.61974195;47.61974195;47.61974195;47.61974195
aviation_short_jet_a;2020;13.096;13.096;13.096;13.096;13.096;13.096;13.096;13.096
aviation_short_jet_a;2030;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;7.828442465
aviation_short_jet_a;2040;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;0
aviation_short_jet_a;2050;18.98684965;18.98684965;18.98684965;18.98684965;18.98684965;18.98684965;3.579063049;0
aviation_short_jet_a;2060;21.27451477;21.27451477;21.27451477;21.27451477;21.27451477;21.27451477;0;0
aviation_short_jet_a;2070;24.17055015;24.17055015;24.17055015;24.17055015;24.17055015;20.80463818;0;0
aviation_short_jet_a;2080;27.59416551;27.59416551;27.59416551;27.59416551;27.59416551;0;0;0
aviation_short_electric;2020;0;0;0;0;0;0;0;0
aviation_short_electric;2030;0;0;0;0;0;0;0;7.050276428
aviation_short_electric;2040;0;0;0;0;0;0;0;16.57403652
aviation_short_electric;2050;0;0;0;0;0;0;15.4077866;18.98684965
aviation_short_electric;2060;0;0;0;0;0;0;21.27451477;21.27451477
aviation_short_electric;2070;0;0;0;0;0;3.365911972;24.17055015;24.17055015
aviation_short_electric;2080;0;0;0;0;0;27.59416551;27.59416551;27.59416551
aviation_short_saf;2020;0;0;0;0;0;0;0;0
aviation_short_saf;2030;0;0;0;0;0;0;0;0
aviation_short_saf;2040;0;0;0;0;0;0;0;0
aviation_short_saf;2050;0;0;0;0;0;0;0;0
aviation_short_saf;2060;0;0;0;0;0;0;0;0
aviation_short_saf;2070;0;0;0;0;0;0;0;0
aviation_short_saf;2080;0;0;0;0;0;0;0;0
aviation_long_jet_a;2020;13.096;13.096;13.096;13.096;13.096;13.096;13.096;13.096
aviation_long_jet_a;2030;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889;14.87871889
aviation_long_jet_a;2040;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;16.57403652;8.287018259
aviation_long_jet_a;2050;18.98684965;18.98684965;18.98684965;18.98684965;18.98684965;18.98684965;18.98684965;9.493424825
aviation_long_jet_a;2060;21.27451477;21.27451477;21.27451477;21.27451477;21.27451477;21.27451477;21.27451477;10.63725738
aviation_long_jet_a;2070;24.17055015;24.17055015;24.17055015;24.17055015;24.17055015;24.17055015;12.08527508;0
aviation_long_jet_a;2080;27.59416551;27.59416551;27.59416551;27.59416551;27.59416551;27.59416551;13.79708276;0
aviation_long_electric;2020;0;0;0;0;0;0;0;0
aviation_long_electric;2030;0;0;0;0;0;0;0;0
aviation_long_electric;2040;0;0;0;0;0;0;0;0
aviation_long_electric;2050;0;0;0;0;0;0;0;0
aviation_long_electric;2060;0;0;0;0;0;0;0;0
aviation_long_electric;2070;0;0;0;0;0;0;0;24.17055015
aviation_long_electric;2080;0;0;0;0;0;0;0;27.59416551
aviation_long_saf;2020;0;0;0;0;0;0;0;0
aviation_long_saf;2030;0;0;0;0;0;0;0;0
aviation_long_saf;2040;0;0;0;0;0;0;0;8.287018259
aviation_long_saf;2050;0;0;0;0;0;0;0;9.493424825
aviation_long_saf;2060;0;0;0;0;0;0;0;10.63725738
aviation_long_saf;2070;0;0;0;0;0;0;12.08527508;0
aviation_long_saf;2080;0;0;0;0;0;0;13.79708276;0
aviation_bio_to_saf;2020;0;0;0;0;0;0;0;0
aviation_bio_to_saf;2030;0;0;0;0;0;0;0;0
aviation_bio_to_saf;2040;0;0;0;0;0;0;0;0.766549189
aviation_bio_to_saf;2050;0;0;0;0;0;0;0;0.878141796
aviation_bio_to_saf;2060;0;0;0;0;0;0;0;0.983946308
aviation_bio_to_saf;2070;0;0;0;0;0;0;1.117887945;0
aviation_bio_to_saf;2080;0;0;0;0;0;0;1.276230155;0
oil_to_jet_a;2020;2.2302488;2.2302488;2.2302488;2.2302488;2.2302488;2.2302488;2.2302488;2.2302488
oil_to_jet_a;2030;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;2.533845828;1.985334321
oil_to_jet_a;2040;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;2.822558419;0.766549189
oil_to_jet_a;2050;3.233460495;3.233460495;3.233460495;3.233460495;3.233460495;3.233460495;2.034734698;0.878141796
oil_to_jet_a;2060;3.623049865;3.623049865;3.623049865;3.623049865;3.623049865;3.623049865;1.967892616;0.983946308
oil_to_jet_a;2070;4.116244691;4.116244691;4.116244691;4.116244691;4.116244691;3.854376739;1.117887945;0
oil_to_jet_a;2080;4.699286387;4.699286387;4.699286387;4.699286387;4.699286387;2.55246031;1.276230155;0
